Date,Symbol,Order,Shares
2008-06-09,AAPL,BUY,200
2008-06-12,AAPL,SELL,200
2008-06-13,AAPL,BUY,400
2008-06-16,AAPL,SELL,200
2008-06-17,AAPL,SELL,200
2008-06-20,AAPL,BUY,400
2008-06-23,AAPL,SELL,200
2008-06-24,AAPL,BUY,200
2008-06-25,AAPL,SELL,200
2008-06-26,AAPL,SELL,200
2008-06-30,AAPL,BUY,400
2008-07-01,AAPL,SELL,400
2008-07-02,AAPL,BUY,200
2008-07-03,AAPL,BUY,200
2008-07-07,AAPL,SELL,200
2008-07-09,AAPL,SELL,200
2008-07-11,AAPL,BUY,400
2008-07-14,AAPL,SELL,400
2008-07-15,AAPL,BUY,400
2008-07-17,AAPL,SELL,400
2008-07-22,AAPL,BUY,400
2008-07-25,AAPL,SELL,400
2008-07-28,AAPL,BUY,400
2008-08-06,AAPL,SELL,400
2008-08-08,AAPL,BUY,400
2008-08-13,AAPL,SELL,200
2008-08-14,AAPL,BUY,200
2008-08-15,AAPL,SELL,400
2008-08-19,AAPL,BUY,400
2008-08-20,AAPL,SELL,400
2008-08-21,AAPL,BUY,400
2008-08-22,AAPL,SELL,400
2008-08-27,AAPL,BUY,400
2008-08-28,AAPL,SELL,400
2008-09-02,AAPL,BUY,400
2008-09-03,AAPL,SELL,200
2008-09-08,AAPL,SELL,200
2008-09-09,AAPL,BUY,400
2008-09-15,AAPL,SELL,400
2008-09-30,AAPL,BUY,400
2008-10-01,AAPL,SELL,400
2008-10-06,AAPL,BUY,200
2008-10-07,AAPL,SELL,200
2008-10-20,AAPL,BUY,200
2008-10-21,AAPL,BUY,200
2008-10-22,AAPL,SELL,200
2008-10-24,AAPL,SELL,200
2008-10-27,AAPL,BUY,400
2008-10-30,AAPL,SELL,400
2008-11-03,AAPL,BUY,400
2008-11-04,AAPL,SELL,400
2008-11-06,AAPL,BUY,200
2008-11-07,AAPL,SELL,200
2008-11-10,AAPL,BUY,200
2008-11-12,AAPL,BUY,200
2008-11-13,AAPL,SELL,400
2008-11-14,AAPL,BUY,400
2008-11-17,AAPL,SELL,200
2008-11-18,AAPL,BUY,200
2008-11-19,AAPL,SELL,400
2008-11-21,AAPL,BUY,400
2008-11-24,AAPL,SELL,400
2008-11-25,AAPL,BUY,400
2008-11-26,AAPL,SELL,400
